number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
23,0.6680837367182847,2026-05-03 06:23:04.117635,2026-05-03 06:26:33.906995,0 days 00:03:29.789360,64,True,48,0.24489503402306995,,10,192,0.033099127246303525,0.0007806264560104255,ce,1.2617921279786817,0.1776434556753128,0.1865975750564854,0.4158714265068949,2,3,1,warmup_cosine,1.1,0.9,0.10956248855076545,24,3,1.8314869288091946e-05,[0.6680837367182847],[1.2110660239089308],0.6680837367182847,0.6680837367182847,0.0,COMPLETE
24,0.4738259518669699,2026-05-03 06:26:34.010945,2026-05-03 06:27:07.151149,0 days 00:00:33.140204,64,True,48,0.2597693976571276,,10,192,0.030388773317079842,0.0008284223286209447,ce,1.2341072832755393,0.1754166067239517,0.14296880780911184,0.4903656703775231,2,3,1,warmup_cosine,1.1,0.9,0.11389923537939098,24,4,1.7965509743166766e-05,,,,,,PRUNED
25,0.4963488713300066,2026-05-03 06:27:07.254605,2026-05-03 06:27:40.621827,0 days 00:00:33.367222,64,True,48,0.23042448425083095,,10,192,0.051880407078112825,0.0005226007274130995,ce,1.2479049505624382,0.1537709825768468,0.17561234187818797,0.42142786645638375,2,3,1,warmup_cosine,1.1,0.9,0.07302837018962233,24,3,1.692366664907366e-05,,,,,,PRUNED
26,0.6672200206628818,2026-05-03 06:27:40.716508,2026-05-03 06:30:00.873340,0 days 00:02:20.156832,64,True,80,0.2706753982735518,,8,192,0.025963109495514294,0.0007105671368735439,ce,0.9305869646964495,0.1911457887908175,0.24399148291414402,0.43230300310560665,1,1,1,warmup_cosine,1.1,0.9,0.03837425675436559,24,5,3.4113819281573854e-05,[0.6672200206628818],[0.9974713368381528],0.6672200206628818,0.6672200206628818,0.0,COMPLETE
27,0.5486173935567383,2026-05-03 06:30:00.977837,2026-05-03 06:30:55.282471,0 days 00:00:54.304634,64,True,48,0.2294039729106461,2.978665163574606,8,192,0.042708679202389396,0.0008995313199041108,focal,1.362610731014387,0.13074588163358053,0.13584905435062958,0.4732299850279781,2,3,1,warmup_cosine,1.1,0.9,0.16200823484304622,24,3,3.584835708688897e-05,,,,,,PRUNED
28,0.4580726499212617,2026-05-03 06:30:55.379675,2026-05-03 06:31:24.779342,0 days 00:00:29.399667,64,True,48,0.27213360711342505,,10,192,0.021007235334172935,0.0005263731795260392,ce,1.50965484585108,0.15980883375322977,0.3001908750701043,0.3823687708335534,2,3,1,warmup_cosine,1.1,0.9,0.11940257982424952,28,4,1.8954455566250775e-05,,,,,,PRUNED
29,0.4307388286982689,2026-05-03 06:31:24.881530,2026-05-03 06:31:52.301559,0 days 00:00:27.420029,64,True,48,0.32125583680643693,,12,256,0.05431635294412835,0.000979316528209219,ce,1.2327597353664785,0.18192568319316876,0.1905659141827708,0.3332701452984229,2,3,2,warmup_cosine,1.1,0.9,0.07729101950356444,28,7,7.26734948844195e-05,,,,,,PRUNED
30,0.4551234421079926,2026-05-03 06:31:52.399621,2026-05-03 06:32:16.346909,0 days 00:00:23.947288,64,True,80,0.34253701785691354,,12,320,0.05946170797816555,0.000761007510256593,ce,0.8580625605789569,0.2161604632092044,0.11962618691974225,0.31758147514539414,3,1,2,warmup_cosine,1.1,0.9,0.04277070827088504,24,4,7.763251933856707e-05,,,,,,PRUNED
31,0.5133685192373358,2026-05-03 06:32:16.450689,2026-05-03 06:32:49.481666,0 days 00:00:33.030977,64,True,48,0.2870878002512922,,8,192,0.03780185317382979,0.0006457866843831814,ce,1.1399267632484749,0.10995983977409304,0.22375313619505213,0.4222464699952396,1,3,1,warmup_cosine,1.1,0.9,0.007920889534355532,16,3,4.463717591656636e-05,,,,,,PRUNED
32,0.660686165128721,2026-05-03 06:32:49.590849,2026-05-03 06:35:16.016853,0 days 00:02:26.426004,64,True,80,0.24351642628834264,,8,192,0.028292324379096033,0.0007440225603690419,ce,0.964722283443144,0.195858736548892,0.2277053990015378,0.4305276349318435,1,1,1,warmup_cosine,1.1,0.9,0.03220323147464481,24,5,3.846214452271409e-05,[0.660686165128721],[1.0741076280744812],0.660686165128721,0.660686165128721,0.0,COMPLETE
33,0.6760615636736028,2026-05-03 06:35:16.116324,2026-05-03 06:38:15.624404,0 days 00:02:59.508080,64,True,80,0.2207364076733743,,6,192,0.02575799824464036,0.0006071198659602965,ce,0.6742883600758249,0.196620220973635,0.24324685329079893,0.4738536502890335,1,1,1,warmup_cosine,1.1,0.9,0.14890746124755522,20,4,1.4678258143962294e-05,[0.6760615636736028],[1.0651939108217363],0.6760615636736028,0.6760615636736028,0.0,COMPLETE
34,0.4291860161889891,2026-05-03 06:38:15.727714,2026-05-03 06:38:42.393187,0 days 00:00:26.665473,64,True,80,0.21152432031491014,,4,192,0.046922963675294506,0.0005794114296058977,ce,0.6277707525614519,0.25341714981276847,0.17487770324565038,0.46374387166204406,1,1,1,warmup_cosine,1.1,0.9,0.13963329656470047,20,4,1.3577121488086378e-05,,,,,,PRUNED
35,0.6607294671775684,2026-05-03 06:38:42.492352,2026-05-03 06:41:49.347497,0 days 00:03:06.855145,64,True,80,0.22072507547170617,,6,192,0.03550335543677558,0.0005722174167119119,ce,0.7177238146108822,0.20731751050077335,0.28132969574439326,0.4989799257350453,2,1,1,warmup_cosine,1.1,0.9,0.12448477508490405,20,4,2.2285487436614608e-05,[0.6607294671775684],[1.1290367281408333],0.6607294671775684,0.6607294671775684,0.0,COMPLETE
36,0.46313581430090595,2026-05-03 06:41:49.459348,2026-05-03 06:42:15.808846,0 days 00:00:26.349498,64,True,80,0.22251836179560433,2.545738644747745,6,192,0.024719267193850824,0.0006522079227978676,focal,0.7561132059078339,0.16135146199309525,0.49619285277544434,0.39055365894949445,2,1,1,warmup_invsqrt,1.1,0.9,0.14783118733832087,16,3,1.0051441608168645e-05,,,,,,PRUNED
37,0.5477495527366592,2026-05-03 06:42:15.906406,2026-05-03 06:42:55.634175,0 days 00:00:39.727769,64,True,64,0.24414942916384186,,10,192,0.032497461017591676,0.00045240333996719056,ce,0.5002210037115888,0.21986849889309348,0.23718246019817107,0.4734264496529605,1,1,1,warmup_cosine,1.1,0.9,0.0937352151974674,32,3,1.4223830487406019e-05,,,,,,PRUNED
38,0.4860425775534698,2026-05-03 06:42:55.730582,2026-05-03 06:43:24.216039,0 days 00:00:28.485457,64,True,80,0.3116925679776863,,12,192,0.04791802020170882,0.0008228005592208836,ce,1.4098659789261,0.19731328160949346,0.19365337426797874,0.4472674886870687,3,2,4,warmup_cosine,1.1,0.9,0.161728042727556,24,2,6.150066864305918e-05,,,,,,PRUNED
39,0.4595740912732621,2026-05-03 06:43:24.313227,2026-05-03 06:43:51.483576,0 days 00:00:27.170349,64,True,48,0.3110482893171184,2.484320866879835,14,256,0.07140710249424978,0.0004874547214650528,focal,1.5253157412963194,0.14522268534830635,0.1549670082587415,0.3788343393244472,3,3,3,warmup_invsqrt,1.1,0.9,0.05868410318799767,36,4,7.799269062841118e-05,,,,,,PRUNED
40,0.6463066453485347,2026-05-03 06:43:51.582886,2026-05-03 06:46:00.944327,0 days 00:02:09.361441,64,True,80,0.21807381484178062,,4,192,0.040753884859831516,0.0005695103847541919,ce,1.3589822701043546,0.12559314853709203,0.2008774936832386,0.11422588609786014,2,1,1,warmup_cosine,1.1,0.9,0.107146252099514,20,3,1.4274274557907179e-05,[0.6463066453485347],[1.1024156154202613],0.6463066453485347,0.6463066453485347,0.0,COMPLETE
41,0.4010594072240771,2026-05-03 06:46:01.049620,2026-05-03 06:46:27.419153,0 days 00:00:26.369533,64,True,64,0.3232405442455649,,16,192,0.10278343553268396,0.00016427711253799243,ce,0.8047134755309263,0.2500023845423432,0.3418849713594899,0.2708635235196649,3,3,2,warmup_cosine,1.1,0.9,0.0908294030726354,28,4,5.959378101540663e-05,,,,,,PRUNED
42,0.46947044446508357,2026-05-03 06:46:27.524554,2026-05-03 06:46:50.844051,0 days 00:00:23.319497,64,True,80,0.27214311788672213,,8,192,0.025179058924599,0.0007072833768970458,ce,1.0009153549376553,0.16886980921460287,0.22994830955070872,0.4226280365869774,1,1,1,warmup_cosine,1.1,0.9,0.04639453929339822,24,5,3.400495734206307e-05,,,,,,PRUNED
43,0.6558278406019021,2026-05-03 06:46:50.940818,2026-05-03 06:49:37.974609,0 days 00:02:47.033791,64,True,80,0.20046284174944376,,10,192,0.028996909910890944,0.0008030092579714054,ce,0.911191799886052,0.1875998468781409,0.251731627318558,0.4348151920774069,1,1,1,warmup_cosine,1.1,0.9,0.018812908287961394,20,4,2.65942271809443e-05,[0.6558278406019021],[1.113419159710836],0.6558278406019021,0.6558278406019021,0.0,COMPLETE
